Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Radio Crispo FM 108.8,Reklamekassett,TAPE,1983,FALSE,TRUE,TRUE,,,
Mr. Walker and the Walkmen,All Good Lies,7’’,1985,FALSE,FALSE,TRUE,,,
Mr. Walker and the Walkmen,Walking,7’’,1985,FALSE,FALSE,TRUE,,,
Mr. Walker and the Walkmen,This is Your Walkman Talking,7’’,1985,TRUE,FALSE,TRUE,,,
L.A.W.,L.A.W.,Mixape/demo/samle,1987,FALSE,FALSE,FALSE,,,
Ute Til Lunch,Ute Til Lunch,7’’,1987,TRUE,FALSE,FALSE,,,
The B.A. Rock Crew,Rock the House,7’’,1988,FALSE,FALSE,FALSE,,,
Ute Til Lunch,Dette Er En Kjempehit,7’’,1988,FALSE,FALSE,FALSE,,,
Ute Til Lunch,Gummisangen,7’’,1988,FALSE,FALSE,FALSE,,,
Vidar Theisen & The Retrievers,Heavy Metal,7’’,1988,FALSE,FALSE,FALSE,,,
Snikksnakk,Her er det no’ muffens!!,7’’,1989,FALSE,FALSE,FALSE,,,
Snikksnakk,Mer muffens,CD,1989,FALSE,FALSE,FALSE,,,
Ute Til Lunch/Carl I. Hagen,Hagen Ræpp,7’’,1989,TRUE,FALSE,FALSE,,,
Utpå Kameratene,Rapp En Konkurs,7’’,1989,FALSE,FALSE,FALSE,,,
A-Team,Peace Doctor,7’’,1990,FALSE,FALSE,TRUE,,,
A-Team,Peace Doctor,12’’,1990,FALSE,FALSE,TRUE,,,
Felony Force,Drugs,7’’,1990,FALSE,FALSE,FALSE,,,
MC Cey,3.5.25,7’’,1990,FALSE,FALSE,FALSE,,,
MC Cey,3.5.25,12’’,1990,FALSE,FALSE,FALSE,,,
Snikksnakk,Jadajada,7’’,1990,FALSE,FALSE,FALSE,,,
Snikksnakk,Som et skudd,7’’,1990,FALSE,FALSE,FALSE,,,
A-Team,Rage,CD,1991,FALSE,FALSE,TRUE,,,
A-Team,Rage,CASSETTE,1991,FALSE,FALSE,TRUE,,,
